Train [3][400/1251]	Time 0.377 (0.376)	Data 0.001 (0.001)	Loss 4.1011 (4.1777)	Top-1 acc 27.344 (27.030)	Top-5 acc 50.879 (51.042)	lr 0.18556
Train [3][500/1251]	Time 0.370 (0.376)	Data 0.001 (0.001)	Loss 3.9984 (4.1589)	Top-1 acc 30.078 (27.394)	Top-5 acc 53.906 (51.467)	lr 0.19195
Train [3][600/1251]	Time 0.380 (0.376)	Data 0.002 (0.001)	Loss 4.0173 (4.1417)	Top-1 acc 30.273 (27.731)	Top-5 acc 54.297 (51.873)	lr 0.19834
Train [3][700/1251]	Time 0.375 (0.376)	Data 0.001 (0.001)	Loss 3.8860 (4.1242)	Top-1 acc 33.008 (28.067)	Top-5 acc 56.641 (52.232)	lr 0.20473
Train [3][800/1251]	Time 0.360 (0.376)	Data 0.001 (0.001)	Loss 4.0492 (4.1075)	Top-1 acc 28.516 (28.397)	Top-5 acc 53.711 (52.618)	lr 0.21112
Train [3][900/1251]	Time 0.374 (0.376)	Data 0.001 (0.001)	Loss 4.0211 (4.0901)	Top-1 acc 31.738 (28.723)	Top-5 acc 54.297 (53.010)	lr 0.21751
Train [3][1000/1251]	Time 0.375 (0.376)	Data 0.001 (0.001)	Loss 3.8348 (4.0737)	Top-1 acc 32.910 (29.035)	Top-5 acc 59.473 (53.397)	lr 0.22390
Train [3][1100/1251]	Time 0.375 (0.376)	Data 0.001 (0.001)	Loss 3.8682 (4.0582)	Top-1 acc 31.348 (29.350)	Top-5 acc 58.008 (53.749)	lr 0.23029
Train [3][1200/1251]	Time 0.378 (0.376)	Data 0.001 (0.001)	Loss 3.8841 (4.0422)	Top-1 acc 34.082 (29.666)	Top-5 acc 57.520 (54.105)	lr 0.23668
==========Valid [3/120]	loss 3.096	top-1 acc 33.766 (33.766)	top-5 acc 60.108	Train top-1 29.818	top-5 54.277
Train [4][0/1251]	Time 0.417 (0.417)	Data 0.001 (0.001)	Loss 3.7317 (3.7317)	Top-1 acc 35.645 (35.645)	Top-5 acc 60.938 (60.938)	lr 0.24000
Train [4][100/1251]	Time 0.369 (0.376)	Data 0.001 (0.001)	Loss 3.8425 (3.8223)	Top-1 acc 34.863 (34.037)	Top-5 acc 58.496 (58.940)	lr 0.24639
Train [4][200/1251]	Time 0.381 (0.376)	Data 0.001 (0.001)	Loss 3.7852 (3.8119)	Top-1 acc 33.789 (34.177)	Top-5 acc 61.816 (59.204)	lr 0.25278
Train [4][300/1251]	Time 0.378 (0.377)	Data 0.002 (0.001)	Loss 3.7377 (3.8010)	Top-1 acc 34.277 (34.403)	Top-5 acc 60.742 (59.490)	lr 0.25917
Train [4][400/1251]	Time 0.377 (0.377)	Data 0.001 (0.001)	Loss 3.7468 (3.7910)	Top-1 acc 33.984 (34.592)	Top-5 acc 60.645 (59.709)	lr 0.26556
