Train [2][500/2502]	Time 0.376 (0.373)	Data 0.001 (0.001)	Loss 4.9207 (5.1143)	Top-1 acc 16.016 (12.626)	Top-5 acc 36.523 (29.776)	lr 0.04799
Train [2][600/2502]	Time 0.371 (0.373)	Data 0.001 (0.001)	Loss 4.9283 (5.0879)	Top-1 acc 14.648 (12.996)	Top-5 acc 33.398 (30.384)	lr 0.04959
Train [2][700/2502]	Time 0.382 (0.373)	Data 0.001 (0.001)	Loss 4.9726 (5.0626)	Top-1 acc 15.820 (13.358)	Top-5 acc 35.156 (30.964)	lr 0.05119
Train [2][800/2502]	Time 0.375 (0.373)	Data 0.001 (0.001)	Loss 4.8259 (5.0390)	Top-1 acc 16.797 (13.680)	Top-5 acc 36.133 (31.499)	lr 0.05278
Train [2][900/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 4.7495 (5.0149)	Top-1 acc 18.359 (14.005)	Top-5 acc 37.305 (32.077)	lr 0.05438
Train [2][1000/2502]	Time 0.376 (0.373)	Data 0.001 (0.001)	Loss 4.6981 (4.9924)	Top-1 acc 18.750 (14.309)	Top-5 acc 40.625 (32.603)	lr 0.05598
Train [2][1100/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 4.6469 (4.9702)	Top-1 acc 21.875 (14.616)	Top-5 acc 39.453 (33.120)	lr 0.05758
Train [2][1200/2502]	Time 0.377 (0.373)	Data 0.001 (0.001)	Loss 4.7600 (4.9476)	Top-1 acc 17.578 (14.932)	Top-5 acc 37.891 (33.637)	lr 0.05918
Train [2][1300/2502]	Time 0.375 (0.373)	Data 0.001 (0.001)	Loss 4.6004 (4.9252)	Top-1 acc 22.266 (15.263)	Top-5 acc 40.625 (34.168)	lr 0.06078
Train [2][1400/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 4.4767 (4.9050)	Top-1 acc 24.609 (15.550)	Top-5 acc 42.578 (34.639)	lr 0.06237
Train [2][1500/2502]	Time 0.371 (0.373)	Data 0.001 (0.001)	Loss 4.7641 (4.8838)	Top-1 acc 19.531 (15.855)	Top-5 acc 40.234 (35.132)	lr 0.06397
Train [2][1600/2502]	Time 0.374 (0.373)	Data 0.001 (0.001)	Loss 4.5512 (4.8639)	Top-1 acc 23.047 (16.146)	Top-5 acc 41.211 (35.569)	lr 0.06557
Train [2][1700/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 4.5709 (4.8434)	Top-1 acc 20.703 (16.457)	Top-5 acc 42.578 (36.037)	lr 0.06717
Train [2][1800/2502]	Time 0.371 (0.373)	Data 0.001 (0.001)	Loss 4.5127 (4.8230)	Top-1 acc 23.242 (16.775)	Top-5 acc 44.141 (36.515)	lr 0.06877
Train [2][1900/2502]	Time 0.372 (0.373)	Data 0.001 (0.001)	Loss 4.5124 (4.8023)	Top-1 acc 20.898 (17.094)	Top-5 acc 40.820 (36.988)	lr 0.07036
Train [2][2000/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 4.5418 (4.7830)	Top-1 acc 22.852 (17.385)	Top-5 acc 41.797 (37.440)	lr 0.07196
Train [2][2100/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 4.3122 (4.7632)	Top-1 acc 25.586 (17.697)	Top-5 acc 47.461 (37.885)	lr 0.07356
Train [2][2200/2502]	Time 0.370 (0.373)	Data 0.001 (0.001)	Loss 4.4025 (4.7455)	Top-1 acc 24.609 (17.990)	Top-5 acc 46.484 (38.290)	lr 0.07516
Train [2][2300/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 4.4395 (4.7262)	Top-1 acc 21.484 (18.291)	Top-5 acc 44.922 (38.742)	lr 0.07676
Train [2][2400/2502]	Time 0.377 (0.373)	Data 0.001 (0.001)	Loss 4.4609 (4.7077)	Top-1 acc 20.508 (18.588)	Top-5 acc 45.898 (39.167)	lr 0.07835
Train [2][2500/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 4.2497 (4.6897)	Top-1 acc 25.195 (18.881)	Top-5 acc 51.953 (39.579)	lr 0.07995
==========Valid [2/120]	loss 3.730	top-1 acc 24.366 (24.366)	top-5 acc 48.270	Train top-1 18.883	top-5 39.582
Train [3][0/2502]	Time 0.410 (0.410)	Data 0.001 (0.001)	Loss 4.1928 (4.1928)	Top-1 acc 27.344 (27.344)	Top-5 acc 51.172 (51.172)	lr 0.08000
Train [3][100/2502]	Time 0.383 (0.374)	Data 0.001 (0.001)	Loss 4.2343 (4.2211)	Top-1 acc 26.953 (26.348)	Top-5 acc 48.633 (50.371)	lr 0.08160
