Train [1][0/2502]	Time 5.003 (5.003)	Data 0.000 (0.000)	Loss 6.9100 (6.9100)	Top-1 acc 0.195 (0.195)	Top-5 acc 0.586 (0.586)	lr 0.00000
Train [1][100/2502]	Time 0.509 (0.640)	Data 0.001 (0.004)	Loss 6.9082 (6.9090)	Top-1 acc 0.000 (0.101)	Top-5 acc 0.195 (0.460)	lr 0.00799
Train [1][200/2502]	Time 0.605 (0.659)	Data 0.445 (0.104)	Loss 6.9079 (6.9084)	Top-1 acc 0.195 (0.100)	Top-5 acc 0.195 (0.463)	lr 0.01598
Train [1][300/2502]	Time 0.591 (0.665)	Data 0.375 (0.145)	Loss 6.9074 (6.9082)	Top-1 acc 0.000 (0.110)	Top-5 acc 0.391 (0.490)	lr 0.02397
Train [1][400/2502]	Time 1.469 (0.658)	Data 1.307 (0.119)	Loss 6.9024 (6.9076)	Top-1 acc 0.000 (0.117)	Top-5 acc 0.195 (0.515)	lr 0.03196
Train [1][500/2502]	Time 0.567 (0.650)	Data 0.001 (0.182)	Loss 6.8533 (6.9023)	Top-1 acc 0.195 (0.140)	Top-5 acc 0.195 (0.585)	lr 0.03995
Train [1][600/2502]	Time 0.519 (0.649)	Data 0.001 (0.155)	Loss 6.7712 (6.8901)	Top-1 acc 0.000 (0.175)	Top-5 acc 2.734 (0.746)	lr 0.04794
Train [1][700/2502]	Time 0.588 (0.656)	Data 0.399 (0.199)	Loss 6.5843 (6.8630)	Top-1 acc 1.367 (0.233)	Top-5 acc 3.906 (1.004)	lr 0.05593
Train [1][800/2502]	Time 0.630 (0.668)	Data 0.469 (0.240)	Loss 6.2975 (6.8105)	Top-1 acc 1.562 (0.358)	Top-5 acc 5.664 (1.481)	lr 0.06392
Train [1][900/2502]	Time 0.736 (0.676)	Data 0.567 (0.276)	Loss 6.0290 (6.7409)	Top-1 acc 1.953 (0.562)	Top-5 acc 10.742 (2.178)	lr 0.07191
Train [1][1000/2502]	Time 0.665 (0.675)	Data 0.504 (0.296)	Loss 5.8969 (6.6635)	Top-1 acc 2.930 (0.822)	Top-5 acc 10.156 (3.070)	lr 0.07990
Train [1][1100/2502]	Time 0.575 (0.672)	Data 0.416 (0.312)	Loss 5.7794 (6.5852)	Top-1 acc 4.297 (1.150)	Top-5 acc 14.453 (4.082)	lr 0.08789
Train [1][1200/2502]	Time 0.583 (0.667)	Data 0.424 (0.323)	Loss 5.5289 (6.5061)	Top-1 acc 7.422 (1.552)	Top-5 acc 19.336 (5.184)	lr 0.09588
Train [1][1300/2502]	Time 0.490 (0.664)	Data 0.330 (0.333)	Loss 5.5974 (6.4297)	Top-1 acc 5.273 (1.985)	Top-5 acc 16.797 (6.324)	lr 0.10388
Train [1][1400/2502]	Time 0.535 (0.670)	Data 0.361 (0.346)	Loss 5.2465 (6.3547)	Top-1 acc 7.422 (2.454)	Top-5 acc 24.414 (7.520)	lr 0.11187
Train [1][1500/2502]	Time 0.578 (0.665)	Data 0.369 (0.351)	Loss 5.2508 (6.2814)	Top-1 acc 12.305 (2.967)	Top-5 acc 26.953 (8.760)	lr 0.11986
Train [1][1600/2502]	Time 0.630 (0.664)	Data 0.443 (0.358)	Loss 5.0965 (6.2112)	Top-1 acc 11.133 (3.496)	Top-5 acc 29.102 (9.985)	lr 0.12785
Train [1][1700/2502]	Time 0.600 (0.678)	Data 0.378 (0.379)	Loss 5.0228 (6.1440)	Top-1 acc 14.453 (4.036)	Top-5 acc 33.594 (11.210)	lr 0.13584
Train [1][1800/2502]	Time 0.569 (0.687)	Data 0.373 (0.376)	Loss 4.9421 (6.0787)	Top-1 acc 13.672 (4.587)	Top-5 acc 35.547 (12.406)	lr 0.14383
Train [1][1900/2502]	Time 0.692 (0.695)	Data 0.525 (0.390)	Loss 4.8472 (6.0167)	Top-1 acc 17.188 (5.137)	Top-5 acc 36.133 (13.567)	lr 0.15182
Train [1][2000/2502]	Time 0.556 (0.699)	Data 0.382 (0.401)	Loss 4.8454 (5.9581)	Top-1 acc 15.039 (5.671)	Top-5 acc 37.305 (14.696)	lr 0.15981
Train [1][2100/2502]	Time 0.736 (0.703)	Data 0.035 (0.407)	Loss 4.7658 (5.9014)	Top-1 acc 16.797 (6.215)	Top-5 acc 40.039 (15.790)	lr 0.16780
Train [1][2200/2502]	Time 0.599 (0.701)	Data 0.429 (0.407)	Loss 4.7108 (5.8472)	Top-1 acc 16.211 (6.754)	Top-5 acc 38.086 (16.866)	lr 0.17579
Train [1][2300/2502]	Time 0.604 (0.701)	Data 0.435 (0.412)	Loss 4.7037 (5.7953)	Top-1 acc 17.773 (7.281)	Top-5 acc 37.891 (17.886)	lr 0.18378
Train [1][2400/2502]	Time 0.652 (0.699)	Data 0.487 (0.415)	Loss 4.5442 (5.7458)	Top-1 acc 20.312 (7.809)	Top-5 acc 44.336 (18.876)	lr 0.19177
Train [1][2500/2502]	Time 0.514 (0.698)	Data 0.077 (0.415)	Loss 4.5629 (5.6980)	Top-1 acc 22.070 (8.329)	Top-5 acc 43.359 (19.836)	lr 0.19976
Train [1][2502/2502]	Time 1.119 (0.698)	Data 0.169 (0.415)	Loss 4.7608 (5.6974)	Top-1 acc 20.256 (8.336)	Top-5 acc 39.818 (19.847)	lr 0.19992
