Train [3][400/1251]	Time 0.347 (0.339)	Data 0.001 (0.002)	Loss 4.1549 (4.2598)	Top-1 acc 26.172 (25.879)	Top-5 acc 50.195 (49.342)	lr 0.18556
Train [3][500/1251]	Time 0.312 (0.339)	Data 0.001 (0.001)	Loss 4.0500 (4.2377)	Top-1 acc 29.199 (26.284)	Top-5 acc 54.688 (49.847)	lr 0.19195
Train [3][600/1251]	Time 0.329 (0.340)	Data 0.004 (0.001)	Loss 4.0908 (4.2167)	Top-1 acc 29.199 (26.660)	Top-5 acc 53.418 (50.333)	lr 0.19834
Train [3][700/1251]	Time 0.315 (0.340)	Data 0.001 (0.001)	Loss 3.9335 (4.1958)	Top-1 acc 30.859 (27.071)	Top-5 acc 57.812 (50.800)	lr 0.20473
Train [3][800/1251]	Time 0.319 (0.341)	Data 0.002 (0.001)	Loss 4.1147 (4.1753)	Top-1 acc 28.418 (27.457)	Top-5 acc 54.492 (51.263)	lr 0.21112
Train [3][900/1251]	Time 0.404 (0.341)	Data 0.001 (0.001)	Loss 4.0270 (4.1551)	Top-1 acc 30.176 (27.813)	Top-5 acc 54.297 (51.713)	lr 0.21751
Train [3][1000/1251]	Time 0.349 (0.340)	Data 0.001 (0.001)	Loss 3.8369 (4.1362)	Top-1 acc 33.984 (28.181)	Top-5 acc 59.473 (52.150)	lr 0.22390
Train [3][1100/1251]	Time 0.355 (0.341)	Data 0.001 (0.001)	Loss 3.9055 (4.1187)	Top-1 acc 31.641 (28.519)	Top-5 acc 57.617 (52.547)	lr 0.23029
Train [3][1200/1251]	Time 0.358 (0.341)	Data 0.001 (0.001)	Loss 3.9213 (4.1007)	Top-1 acc 33.984 (28.879)	Top-5 acc 56.934 (52.959)	lr 0.23668
==========Valid [3/120]	loss 3.144	top-1 acc 33.466 (33.466)	top-5 acc 59.122	Train top-1 29.045	top-5 53.148
Train [4][0/1251]	Time 0.301 (0.301)	Data 0.001 (0.001)	Loss 3.7012 (3.7012)	Top-1 acc 35.742 (35.742)	Top-5 acc 62.012 (62.012)	lr 0.24000
Train [4][100/1251]	Time 0.422 (0.340)	Data 0.001 (0.001)	Loss 3.8801 (3.8515)	Top-1 acc 32.812 (33.630)	Top-5 acc 59.375 (58.453)	lr 0.24639
Train [4][200/1251]	Time 0.345 (0.341)	Data 0.001 (0.001)	Loss 3.8046 (3.8421)	Top-1 acc 35.352 (33.832)	Top-5 acc 61.426 (58.659)	lr 0.25278
Train [4][300/1251]	Time 0.340 (0.339)	Data 0.002 (0.001)	Loss 3.7468 (3.8291)	Top-1 acc 34.082 (34.059)	Top-5 acc 60.059 (59.031)	lr 0.25917
Train [4][400/1251]	Time 0.362 (0.339)	Data 0.001 (0.001)	Loss 3.7830 (3.8192)	Top-1 acc 34.473 (34.227)	Top-5 acc 60.254 (59.275)	lr 0.26556
Train [4][500/1251]	Time 0.313 (0.339)	Data 0.001 (0.001)	Loss 3.6787 (3.8074)	Top-1 acc 36.230 (34.479)	Top-5 acc 62.012 (59.502)	lr 0.27195
Train [4][600/1251]	Time 0.320 (0.339)	Data 0.004 (0.002)	Loss 3.7072 (3.7971)	Top-1 acc 36.621 (34.744)	Top-5 acc 60.059 (59.742)	lr 0.27834
Train [4][700/1251]	Time 0.316 (0.339)	Data 0.002 (0.001)	Loss 3.6247 (3.7854)	Top-1 acc 37.598 (34.988)	Top-5 acc 63.281 (59.982)	lr 0.28473
Train [4][800/1251]	Time 0.317 (0.339)	Data 0.001 (0.001)	Loss 3.7224 (3.7752)	Top-1 acc 36.816 (35.182)	Top-5 acc 63.281 (60.186)	lr 0.29112
Train [4][900/1251]	Time 0.357 (0.339)	Data 0.001 (0.001)	Loss 3.6810 (3.7638)	Top-1 acc 35.352 (35.417)	Top-5 acc 61.426 (60.437)	lr 0.29751
Train [4][1000/1251]	Time 0.312 (0.340)	Data 0.001 (0.001)	Loss 3.6355 (3.7538)	Top-1 acc 38.672 (35.639)	Top-5 acc 64.062 (60.643)	lr 0.30390
Train [4][1100/1251]	Time 0.313 (0.340)	Data 0.001 (0.001)	Loss 3.6810 (3.7434)	Top-1 acc 37.793 (35.858)	Top-5 acc 60.254 (60.856)	lr 0.31029
Train [4][1200/1251]	Time 0.350 (0.340)	Data 0.001 (0.001)	Loss 3.5772 (3.7325)	Top-1 acc 39.160 (36.081)	Top-5 acc 64.258 (61.084)	lr 0.31668
==========Valid [4/120]	loss 2.842	top-1 acc 38.826 (38.826)	top-5 acc 64.950	Train top-1 36.161	top-5 61.188
Train [5][0/1251]	Time 0.298 (0.298)	Data 0.001 (0.001)	Loss 3.5861 (3.5861)	Top-1 acc 37.695 (37.695)	Top-5 acc 64.648 (64.648)	lr 0.32000
Train [5][100/1251]	Time 0.315 (0.342)	Data 0.002 (0.002)	Loss 3.6197 (3.5982)	Top-1 acc 36.914 (38.700)	Top-5 acc 64.062 (63.845)	lr 0.32639
Train [5][200/1251]	Time 0.311 (0.343)	Data 0.001 (0.002)	Loss 3.4316 (3.5856)	Top-1 acc 43.066 (39.030)	Top-5 acc 67.969 (64.076)	lr 0.33278
Train [5][300/1251]	Time 0.401 (0.342)	Data 0.001 (0.001)	Loss 3.6165 (3.5746)	Top-1 acc 39.746 (39.248)	Top-5 acc 62.500 (64.312)	lr 0.33917
Train [5][400/1251]	Time 0.349 (0.341)	Data 0.001 (0.001)	Loss 3.6095 (3.5676)	Top-1 acc 37.695 (39.383)	Top-5 acc 63.867 (64.472)	lr 0.34556
Train [5][500/1251]	Time 0.503 (0.340)	Data 0.001 (0.001)	Loss 3.4269 (3.5615)	Top-1 acc 41.113 (39.522)	Top-5 acc 66.699 (64.631)	lr 0.35195
Train [5][600/1251]	Time 0.312 (0.339)	Data 0.001 (0.001)	Loss 3.4882 (3.5556)	Top-1 acc 39.941 (39.673)	Top-5 acc 66.016 (64.751)	lr 0.35834
Train [5][700/1251]	Time 0.338 (0.339)	Data 0.001 (0.001)	Loss 3.4566 (3.5480)	Top-1 acc 40.625 (39.824)	Top-5 acc 68.262 (64.934)	lr 0.36473
Train [5][800/1251]	Time 0.319 (0.339)	Data 0.001 (0.001)	Loss 3.5164 (3.5422)	Top-1 acc 40.234 (39.955)	Top-5 acc 65.332 (65.017)	lr 0.37112
Train [5][900/1251]	Time 0.313 (0.339)	Data 0.001 (0.001)	Loss 3.5588 (3.5348)	Top-1 acc 41.016 (40.099)	Top-5 acc 64.355 (65.183)	lr 0.37751
Train [5][1000/1251]	Time 0.316 (0.338)	Data 0.001 (0.001)	Loss 3.5803 (3.5286)	Top-1 acc 40.234 (40.242)	Top-5 acc 65.234 (65.309)	lr 0.38390
Train [5][1100/1251]	Time 0.319 (0.338)	Data 0.001 (0.001)	Loss 3.5546 (3.5226)	Top-1 acc 40.527 (40.372)	Top-5 acc 63.867 (65.418)	lr 0.39029
Train [5][1200/1251]	Time 0.310 (0.338)	Data 0.003 (0.001)	Loss 3.4157 (3.5154)	Top-1 acc 42.188 (40.519)	Top-5 acc 67.871 (65.552)	lr 0.39668
==========Valid [5/120]	loss 2.688	top-1 acc 41.982 (41.982)	top-5 acc 68.034	Train top-1 40.585	top-5 65.618
Train [6][0/1251]	Time 0.318 (0.318)	Data 0.001 (0.001)	Loss 3.5626 (3.5626)	Top-1 acc 40.039 (40.039)	Top-5 acc 63.965 (63.965)	lr 0.40000
Train [6][100/1251]	Time 0.322 (0.342)	Data 0.001 (0.002)	Loss 3.3392 (3.4227)	Top-1 acc 44.043 (42.444)	Top-5 acc 70.312 (67.304)	lr 0.40000
Train [6][200/1251]	Time 0.310 (0.341)	Data 0.001 (0.002)	Loss 3.3509 (3.4225)	Top-1 acc 47.168 (42.458)	Top-5 acc 69.043 (67.358)	lr 0.40000
Train [6][300/1251]	Time 0.318 (0.340)	Data 0.001 (0.002)	Loss 3.2552 (3.4148)	Top-1 acc 45.215 (42.598)	Top-5 acc 71.191 (67.527)	lr 0.40000
Train [6][400/1251]	Time 0.366 (0.339)	Data 0.001 (0.002)	Loss 3.3995 (3.4089)	Top-1 acc 42.969 (42.708)	Top-5 acc 69.043 (67.647)	lr 0.39999
Train [6][500/1251]	Time 0.352 (0.340)	Data 0.002 (0.001)	Loss 3.2897 (3.4030)	Top-1 acc 45.605 (42.817)	Top-5 acc 70.898 (67.788)	lr 0.39999
Train [6][600/1251]	Time 0.313 (0.341)	Data 0.001 (0.001)	Loss 3.4432 (3.3973)	Top-1 acc 41.309 (42.951)	Top-5 acc 67.188 (67.908)	lr 0.39998
Train [6][700/1251]	Time 0.317 (0.341)	Data 0.001 (0.001)	Loss 3.3802 (3.3899)	Top-1 acc 42.871 (43.124)	Top-5 acc 67.480 (68.050)	lr 0.39998
Train [6][800/1251]	Time 0.356 (0.341)	Data 0.001 (0.001)	Loss 3.2441 (3.3844)	Top-1 acc 46.680 (43.249)	Top-5 acc 70.996 (68.168)	lr 0.39997
Train [6][900/1251]	Time 0.510 (0.340)	Data 0.001 (0.001)	Loss 3.2490 (3.3777)	Top-1 acc 46.289 (43.393)	Top-5 acc 70.020 (68.303)	lr 0.39996
Train [6][1000/1251]	Time 0.316 (0.340)	Data 0.001 (0.001)	Loss 3.4264 (3.3706)	Top-1 acc 44.336 (43.540)	Top-5 acc 65.430 (68.455)	lr 0.39995
Train [6][1100/1251]	Time 0.327 (0.340)	Data 0.001 (0.001)	Loss 3.3171 (3.3644)	Top-1 acc 45.996 (43.692)	Top-5 acc 68.945 (68.582)	lr 0.39994
Train [6][1200/1251]	Time 0.314 (0.339)	Data 0.001 (0.001)	Loss 3.2803 (3.3575)	Top-1 acc 43.359 (43.843)	Top-5 acc 69.629 (68.720)	lr 0.39993
==========Valid [6/120]	loss 2.399	top-1 acc 46.662 (46.662)	top-5 acc 72.546	Train top-1 43.902	top-5 68.775
Train [7][0/1251]	Time 0.299 (0.299)	Data 0.001 (0.001)	Loss 3.2515 (3.2515)	Top-1 acc 46.777 (46.777)	Top-5 acc 71.094 (71.094)	lr 0.39993
Train [7][100/1251]	Time 0.313 (0.336)	Data 0.001 (0.001)	Loss 3.2707 (3.2714)	Top-1 acc 45.801 (45.712)	Top-5 acc 69.629 (70.486)	lr 0.39991
Train [7][200/1251]	Time 0.320 (0.338)	Data 0.001 (0.001)	Loss 3.2065 (3.2686)	Top-1 acc 46.289 (45.813)	Top-5 acc 69.629 (70.527)	lr 0.39990
Train [7][300/1251]	Time 0.333 (0.340)	Data 0.001 (0.001)	Loss 3.2700 (3.2647)	Top-1 acc 46.387 (45.908)	Top-5 acc 70.117 (70.631)	lr 0.39989
Train [7][400/1251]	Time 0.322 (0.339)	Data 0.002 (0.001)	Loss 3.2812 (3.2612)	Top-1 acc 44.824 (45.959)	Top-5 acc 70.801 (70.707)	lr 0.39987
Train [7][500/1251]	Time 0.321 (0.339)	Data 0.001 (0.001)	Loss 3.1656 (3.2568)	Top-1 acc 47.363 (46.082)	Top-5 acc 72.461 (70.759)	lr 0.39985
Train [7][600/1251]	Time 0.313 (0.338)	Data 0.001 (0.001)	Loss 3.2442 (3.2536)	Top-1 acc 46.875 (46.149)	Top-5 acc 71.094 (70.819)	lr 0.39984
Train [7][700/1251]	Time 0.313 (0.339)	Data 0.001 (0.001)	Loss 3.2156 (3.2490)	Top-1 acc 46.777 (46.247)	Top-5 acc 71.191 (70.910)	lr 0.39982
Train [7][800/1251]	Time 0.322 (0.339)	Data 0.002 (0.001)	Loss 3.2277 (3.2458)	Top-1 acc 45.508 (46.301)	Top-5 acc 73.828 (70.961)	lr 0.39980
Train [7][900/1251]	Time 0.331 (0.340)	Data 0.003 (0.001)	Loss 3.1213 (3.2413)	Top-1 acc 46.680 (46.422)	Top-5 acc 73.633 (71.041)	lr 0.39978
Train [7][1000/1251]	Time 0.324 (0.340)	Data 0.001 (0.001)	Loss 3.2145 (3.2378)	Top-1 acc 46.289 (46.499)	Top-5 acc 70.312 (71.109)	lr 0.39976
Train [7][1100/1251]	Time 0.319 (0.340)	Data 0.002 (0.001)	Loss 3.2046 (3.2342)	Top-1 acc 48.438 (46.575)	Top-5 acc 71.289 (71.176)	lr 0.39974
Train [7][1200/1251]	Time 0.366 (0.341)	Data 0.001 (0.001)	Loss 3.1616 (3.2296)	Top-1 acc 47.168 (46.692)	Top-5 acc 73.242 (71.269)	lr 0.39971
==========Valid [7/120]	loss 2.372	top-1 acc 47.872 (47.872)	top-5 acc 73.440	Train top-1 46.733	top-5 71.302
Train [8][0/1251]	Time 0.302 (0.302)	Data 0.001 (0.001)	Loss 3.1469 (3.1469)	Top-1 acc 48.926 (48.926)	Top-5 acc 72.656 (72.656)	lr 0.39970
Train [8][100/1251]	Time 0.326 (0.337)	Data 0.001 (0.001)	Loss 3.0272 (3.1771)	Top-1 acc 51.074 (47.842)	Top-5 acc 74.609 (72.353)	lr 0.39968
Train [8][200/1251]	Time 0.360 (0.338)	Data 0.001 (0.001)	Loss 3.0042 (3.1756)	Top-1 acc 51.855 (47.903)	Top-5 acc 75.879 (72.319)	lr 0.39965
Train [8][300/1251]	Time 0.350 (0.338)	Data 0.001 (0.001)	Loss 3.1744 (3.1718)	Top-1 acc 49.512 (47.971)	Top-5 acc 71.680 (72.375)	lr 0.39963
Train [8][400/1251]	Time 0.317 (0.338)	Data 0.001 (0.001)	Loss 3.2282 (3.1668)	Top-1 acc 46.094 (48.017)	Top-5 acc 71.484 (72.462)	lr 0.39960
Train [8][500/1251]	Time 0.391 (0.340)	Data 0.001 (0.001)	Loss 3.1331 (3.1634)	Top-1 acc 48.145 (48.102)	Top-5 acc 72.656 (72.487)	lr 0.39957
Train [8][600/1251]	Time 0.372 (0.339)	Data 0.001 (0.001)	Loss 3.1514 (3.1614)	Top-1 acc 47.852 (48.124)	Top-5 acc 73.145 (72.536)	lr 0.39954
Train [8][700/1251]	Time 0.317 (0.339)	Data 0.001 (0.001)	Loss 3.1246 (3.1581)	Top-1 acc 47.559 (48.201)	Top-5 acc 72.559 (72.601)	lr 0.39951
Train [8][800/1251]	Time 0.319 (0.339)	Data 0.001 (0.001)	Loss 3.2407 (3.1561)	Top-1 acc 45.605 (48.244)	Top-5 acc 71.289 (72.622)	lr 0.39948
Train [8][900/1251]	Time 0.364 (0.339)	Data 0.001 (0.001)	Loss 3.1561 (3.1533)	Top-1 acc 47.559 (48.300)	Top-5 acc 71.875 (72.675)	lr 0.39945
Train [8][1000/1251]	Time 0.318 (0.338)	Data 0.001 (0.001)	Loss 3.1697 (3.1503)	Top-1 acc 48.730 (48.373)	Top-5 acc 71.973 (72.738)	lr 0.39942
Train [8][1100/1251]	Time 0.451 (0.338)	Data 0.001 (0.001)	Loss 3.1184 (3.1480)	Top-1 acc 48.828 (48.425)	Top-5 acc 73.730 (72.783)	lr 0.39938
Train [8][1200/1251]	Time 0.320 (0.339)	Data 0.001 (0.001)	Loss 3.0460 (3.1442)	Top-1 acc 51.758 (48.520)	Top-5 acc 74.609 (72.850)	lr 0.39935
Train [8][1251/1251]	Time 0.326 (0.339)	Data 0.001 (0.001)	Loss 3.0229 (3.1430)	Top-1 acc 50.684 (48.545)	Top-5 acc 74.805 (72.875)	lr 0.39933
==========Valid [8/120]	loss 2.417	top-1 acc 47.544 (47.872)	top-5 acc 73.118	Train top-1 48.545	top-5 72.875
Train [9][0/1251]	Time 0.318 (0.318)	Data 0.001 (0.001)	Loss 3.1281 (3.1281)	Top-1 acc 49.219 (49.219)	Top-5 acc 72.949 (72.949)	lr 0.39933
Train [9][100/1251]	Time 0.533 (0.339)	Data 0.001 (0.001)	Loss 3.0673 (3.1069)	Top-1 acc 50.977 (49.340)	Top-5 acc 74.805 (73.561)	lr 0.39929
Train [9][200/1251]	Time 0.460 (0.338)	Data 0.002 (0.001)	Loss 3.1022 (3.1058)	Top-1 acc 50.684 (49.330)	Top-5 acc 73.242 (73.609)	lr 0.39926
Train [9][300/1251]	Time 0.360 (0.337)	Data 0.001 (0.001)	Loss 2.9900 (3.1030)	Top-1 acc 50.488 (49.379)	Top-5 acc 76.172 (73.690)	lr 0.39922
Train [9][400/1251]	Time 0.342 (0.338)	Data 0.002 (0.001)	Loss 3.0753 (3.1008)	Top-1 acc 50.781 (49.468)	Top-5 acc 74.316 (73.709)	lr 0.39918
Train [9][500/1251]	Time 0.376 (0.338)	Data 0.001 (0.001)	Loss 3.0637 (3.0987)	Top-1 acc 51.562 (49.496)	Top-5 acc 75.000 (73.719)	lr 0.39914
Train [9][600/1251]	Time 0.364 (0.339)	Data 0.001 (0.001)	Loss 3.1459 (3.0971)	Top-1 acc 49.512 (49.532)	Top-5 acc 72.559 (73.759)	lr 0.39910
Train [9][700/1251]	Time 0.343 (0.339)	Data 0.001 (0.001)	Loss 3.0664 (3.0937)	Top-1 acc 49.512 (49.607)	Top-5 acc 73.145 (73.808)	lr 0.39906
Train [9][800/1251]	Time 0.421 (0.339)	Data 0.001 (0.001)	Loss 3.0857 (3.0920)	Top-1 acc 49.316 (49.625)	Top-5 acc 74.121 (73.837)	lr 0.39901
Train [9][900/1251]	Time 0.317 (0.339)	Data 0.001 (0.001)	Loss 2.9521 (3.0888)	Top-1 acc 50.781 (49.689)	Top-5 acc 76.855 (73.926)	lr 0.39897
Train [9][1000/1251]	Time 0.319 (0.339)	Data 0.001 (0.001)	Loss 3.1045 (3.0861)	Top-1 acc 50.293 (49.742)	Top-5 acc 72.949 (73.974)	lr 0.39892
Train [9][1100/1251]	Time 0.335 (0.339)	Data 0.001 (0.001)	Loss 3.1509 (3.0841)	Top-1 acc 46.777 (49.802)	Top-5 acc 72.461 (74.018)	lr 0.39888
Train [9][1200/1251]	Time 0.316 (0.338)	Data 0.001 (0.001)	Loss 3.0285 (3.0814)	Top-1 acc 51.465 (49.874)	Top-5 acc 74.805 (74.072)	lr 0.39883
==========Valid [9/120]	loss 2.150	top-1 acc 52.156 (52.156)	top-5 acc 77.266	Train top-1 49.901	top-5 74.093
Train [10][0/1251]	Time 0.305 (0.305)	Data 0.001 (0.001)	Loss 3.0884 (3.0884)	Top-1 acc 49.902 (49.902)	Top-5 acc 74.219 (74.219)	lr 0.39881
Train [10][100/1251]	Time 0.325 (0.340)	Data 0.001 (0.001)	Loss 2.9289 (3.0512)	Top-1 acc 53.418 (50.621)	Top-5 acc 77.539 (74.588)	lr 0.39876
Train [10][200/1251]	Time 0.382 (0.337)	Data 0.002 (0.001)	Loss 3.0167 (3.0516)	Top-1 acc 50.293 (50.604)	Top-5 acc 75.195 (74.635)	lr 0.39871
Train [10][300/1251]	Time 0.312 (0.337)	Data 0.001 (0.001)	Loss 3.0135 (3.0494)	Top-1 acc 52.148 (50.623)	Top-5 acc 76.562 (74.718)	lr 0.39866
Train [10][400/1251]	Time 0.350 (0.338)	Data 0.001 (0.001)	Loss 2.9815 (3.0466)	Top-1 acc 52.246 (50.666)	Top-5 acc 75.684 (74.744)	lr 0.39861
Train [10][500/1251]	Time 0.313 (0.338)	Data 0.001 (0.001)	Loss 3.0773 (3.0459)	Top-1 acc 50.195 (50.650)	Top-5 acc 73.926 (74.763)	lr 0.39856
Train [10][600/1251]	Time 0.352 (0.338)	Data 0.001 (0.001)	Loss 3.0410 (3.0437)	Top-1 acc 49.805 (50.725)	Top-5 acc 75.000 (74.803)	lr 0.39850
Train [10][700/1251]	Time 0.313 (0.337)	Data 0.001 (0.001)	Loss 2.9283 (3.0416)	Top-1 acc 52.441 (50.767)	Top-5 acc 77.441 (74.829)	lr 0.39845
Train [10][800/1251]	Time 0.418 (0.337)	Data 0.001 (0.001)	Loss 2.9978 (3.0409)	Top-1 acc 53.223 (50.789)	Top-5 acc 74.219 (74.839)	lr 0.39840
Train [10][900/1251]	Time 0.356 (0.338)	Data 0.001 (0.001)	Loss 2.9597 (3.0387)	Top-1 acc 52.930 (50.848)	Top-5 acc 77.344 (74.882)	lr 0.39834
Train [10][1000/1251]	Time 0.311 (0.338)	Data 0.001 (0.001)	Loss 3.0775 (3.0367)	Top-1 acc 49.219 (50.887)	Top-5 acc 74.121 (74.903)	lr 0.39828
Train [10][1100/1251]	Time 0.315 (0.338)	Data 0.001 (0.001)	Loss 3.0107 (3.0347)	Top-1 acc 52.246 (50.922)	Top-5 acc 74.609 (74.947)	lr 0.39823
Train [10][1200/1251]	Time 0.312 (0.338)	Data 0.001 (0.001)	Loss 2.9370 (3.0324)	Top-1 acc 54.102 (50.981)	Top-5 acc 76.855 (74.984)	lr 0.39817
==========Valid [10/120]	loss 2.281	top-1 acc 49.738 (52.156)	top-5 acc 74.976	Train top-1 51.000	top-5 74.994
Train [11][0/1251]	Time 0.306 (0.306)	Data 0.001 (0.001)	Loss 3.0052 (3.0052)	Top-1 acc 50.977 (50.977)	Top-5 acc 75.098 (75.098)	lr 0.39814
Train [11][100/1251]	Time 0.316 (0.341)	Data 0.001 (0.001)	Loss 3.0553 (3.0186)	Top-1 acc 50.293 (51.324)	Top-5 acc 74.902 (75.169)	lr 0.39808
Train [11][200/1251]	Time 0.317 (0.341)	Data 0.001 (0.001)	Loss 3.0031 (3.0111)	Top-1 acc 51.074 (51.504)	Top-5 acc 75.391 (75.349)	lr 0.39802
Train [11][300/1251]	Time 0.388 (0.342)	Data 0.001 (0.001)	Loss 3.0592 (3.0070)	Top-1 acc 50.879 (51.598)	Top-5 acc 75.000 (75.445)	lr 0.39795
Train [11][400/1251]	Time 0.315 (0.340)	Data 0.001 (0.001)	Loss 3.0344 (3.0055)	Top-1 acc 50.781 (51.605)	Top-5 acc 74.707 (75.479)	lr 0.39789
