Train [1][0/2502]	Time 5.734 (5.734)	Data 0.000 (0.000)	Loss 7.0086 (7.0086)	Top-1 acc 0.000 (0.000)	Top-5 acc 0.586 (0.586)	lr 0.00000
Train [1][100/2502]	Time 0.572 (0.698)	Data 0.008 (0.367)	Loss 6.9324 (6.9531)	Top-1 acc 0.000 (0.106)	Top-5 acc 0.391 (0.551)	lr 0.00799
Train [1][200/2502]	Time 0.575 (0.655)	Data 0.010 (0.320)	Loss 6.8785 (6.9239)	Top-1 acc 0.000 (0.146)	Top-5 acc 1.367 (0.726)	lr 0.01598
Train [1][300/2502]	Time 0.581 (0.637)	Data 0.001 (0.236)	Loss 6.6423 (6.8615)	Top-1 acc 0.586 (0.270)	Top-5 acc 2.148 (1.210)	lr 0.02397
Train [1][400/2502]	Time 0.817 (0.631)	Data 0.002 (0.177)	Loss 6.3482 (6.7674)	Top-1 acc 2.344 (0.499)	Top-5 acc 5.664 (2.057)	lr 0.03196
Train [1][500/2502]	Time 0.550 (0.624)	Data 0.001 (0.142)	Loss 5.9834 (6.6533)	Top-1 acc 3.711 (0.867)	Top-5 acc 11.719 (3.288)	lr 0.03995
Train [1][600/2502]	Time 0.544 (0.620)	Data 0.329 (0.135)	Loss 5.8030 (6.5396)	Top-1 acc 3.906 (1.337)	Top-5 acc 14.453 (4.671)	lr 0.04794
Train [1][700/2502]	Time 0.342 (0.593)	Data 0.001 (0.129)	Loss 5.6970 (6.4309)	Top-1 acc 5.664 (1.854)	Top-5 acc 16.016 (6.218)	lr 0.05593
Train [1][800/2502]	Time 0.255 (0.559)	Data 0.001 (0.119)	Loss 5.5593 (6.3279)	Top-1 acc 8.203 (2.446)	Top-5 acc 20.703 (7.745)	lr 0.06392
Train [1][900/2502]	Time 0.318 (0.532)	Data 0.001 (0.106)	Loss 5.3407 (6.2327)	Top-1 acc 8.203 (3.050)	Top-5 acc 24.219 (9.275)	lr 0.07191
Train [1][1000/2502]	Time 0.224 (0.511)	Data 0.013 (0.104)	Loss 5.2660 (6.1421)	Top-1 acc 9.766 (3.712)	Top-5 acc 26.953 (10.833)	lr 0.07990
Train [1][1100/2502]	Time 0.304 (0.494)	Data 0.098 (0.105)	Loss 5.2738 (6.0574)	Top-1 acc 9.961 (4.388)	Top-5 acc 27.148 (12.360)	lr 0.08789
Train [1][1200/2502]	Time 0.289 (0.480)	Data 0.081 (0.106)	Loss 5.0068 (5.9762)	Top-1 acc 11.133 (5.094)	Top-5 acc 30.469 (13.868)	lr 0.09588
Train [1][1300/2502]	Time 0.281 (0.472)	Data 0.073 (0.105)	Loss 5.0806 (5.9004)	Top-1 acc 13.281 (5.792)	Top-5 acc 29.102 (15.308)	lr 0.10388
Train [1][1400/2502]	Time 0.318 (0.462)	Data 0.011 (0.105)	Loss 4.8267 (5.8275)	Top-1 acc 15.430 (6.509)	Top-5 acc 35.156 (16.729)	lr 0.11187
Train [1][1500/2502]	Time 0.285 (0.452)	Data 0.080 (0.103)	Loss 4.7728 (5.7586)	Top-1 acc 18.750 (7.221)	Top-5 acc 35.547 (18.106)	lr 0.11986
Train [1][1600/2502]	Time 0.318 (0.445)	Data 0.112 (0.104)	Loss 4.6551 (5.6933)	Top-1 acc 17.383 (7.911)	Top-5 acc 40.039 (19.416)	lr 0.12785
Train [1][1700/2502]	Time 0.271 (0.439)	Data 0.013 (0.100)	Loss 4.5432 (5.6317)	Top-1 acc 23.438 (8.594)	Top-5 acc 47.266 (20.689)	lr 0.13584
