Train [1][0/1251]	Time 8.481 (8.481)	Data 0.000 (0.000)	Loss 6.9117 (6.9117)	Top-1 acc 0.098 (0.098)	Top-5 acc 0.293 (0.293)	lr 0.00000
Train [1][100/1251]	Time 0.564 (0.645)	Data 0.052 (0.058)	Loss 6.8734 (6.9046)	Top-1 acc 0.293 (0.159)	Top-5 acc 1.367 (0.654)	lr 0.03195
Train [1][200/1251]	Time 0.578 (0.627)	Data 0.161 (0.064)	Loss 6.7618 (6.8718)	Top-1 acc 0.488 (0.231)	Top-5 acc 1.562 (0.995)	lr 0.06390
Train [1][300/1251]	Time 0.556 (0.643)	Data 0.002 (0.104)	Loss 6.5249 (6.7963)	Top-1 acc 1.074 (0.406)	Top-5 acc 3.711 (1.690)	lr 0.09585
Train [1][400/1251]	Time 0.581 (0.644)	Data 0.158 (0.106)	Loss 6.0001 (6.6548)	Top-1 acc 3.418 (0.872)	Top-5 acc 8.887 (3.187)	lr 0.12780
Train [1][500/1251]	Time 0.571 (0.637)	Data 0.001 (0.090)	Loss 5.5156 (6.4707)	Top-1 acc 6.348 (1.692)	Top-5 acc 19.141 (5.587)	lr 0.15974
Train [1][600/1251]	Time 0.533 (0.635)	Data 0.001 (0.098)	Loss 5.1305 (6.2769)	Top-1 acc 10.059 (2.893)	Top-5 acc 28.809 (8.680)	lr 0.19169
Train [1][700/1251]	Time 0.609 (0.643)	Data 0.001 (0.089)	Loss 4.8020 (6.0909)	Top-1 acc 15.723 (4.374)	Top-5 acc 37.695 (12.019)	lr 0.22364
Train [1][800/1251]	Time 0.436 (0.644)	Data 0.005 (0.087)	Loss 4.6307 (5.9189)	Top-1 acc 18.945 (5.963)	Top-5 acc 39.941 (15.306)	lr 0.25559
Train [1][900/1251]	Time 0.562 (0.646)	Data 0.004 (0.080)	Loss 4.4104 (5.7633)	Top-1 acc 21.973 (7.583)	Top-5 acc 44.922 (18.389)	lr 0.28754
Train [1][1000/1251]	Time 1.148 (0.663)	Data 0.001 (0.078)	Loss 4.2243 (5.6236)	Top-1 acc 23.730 (9.134)	Top-5 acc 49.707 (21.226)	lr 0.31949
Train [1][1100/1251]	Time 0.689 (0.708)	Data 0.091 (0.097)	Loss 4.2339 (5.4973)	Top-1 acc 27.051 (10.630)	Top-5 acc 49.512 (23.806)	lr 0.35144
Train [1][1200/1251]	Time 0.538 (0.716)	Data 0.001 (0.100)	Loss 4.1170 (5.3829)	Top-1 acc 26.758 (12.027)	Top-5 acc 52.539 (26.164)	lr 0.38339
Train [1][1251/1251]	Time 0.988 (0.718)	Data 0.001 (0.097)	Loss 4.1050 (5.3298)	Top-1 acc 26.567 (12.699)	Top-5 acc 50.377 (27.271)	lr 0.39968
==========Valid [1/120]	loss 5.455	top-1 acc 8.388 (8.388)	top-5 acc 21.704	Train top-1 12.699	top-5 27.271
Train [2][0/1251]	Time 0.591 (0.591)	Data 0.001 (0.001)	Loss 4.3463 (4.3463)	Top-1 acc 24.316 (24.316)	Top-5 acc 46.680 (46.680)	lr 0.40000
Train [2][100/1251]	Time 0.504 (0.507)	Data 0.001 (0.001)	Loss 4.0530 (4.0051)	Top-1 acc 26.855 (29.741)	Top-5 acc 53.711 (54.868)	lr 0.40000
