Train [3][300/1251]	Time 0.546 (0.533)	Data 0.001 (0.001)	Loss 3.2594 (3.2617)	Top-1 acc 44.629 (45.430)	Top-5 acc 70.801 (70.443)	lr 0.39989
Train [3][400/1251]	Time 0.526 (0.532)	Data 0.001 (0.001)	Loss 3.2386 (3.2501)	Top-1 acc 45.996 (45.721)	Top-5 acc 71.484 (70.715)	lr 0.39988
Train [3][500/1251]	Time 0.527 (0.531)	Data 0.001 (0.001)	Loss 3.1487 (3.2373)	Top-1 acc 47.656 (46.037)	Top-5 acc 71.582 (70.966)	lr 0.39986
Train [3][600/1251]	Time 0.512 (0.531)	Data 0.001 (0.001)	Loss 3.2323 (3.2265)	Top-1 acc 47.070 (46.245)	Top-5 acc 70.410 (71.192)	lr 0.39985
Train [3][700/1251]	Time 0.551 (0.532)	Data 0.001 (0.001)	Loss 3.0624 (3.2157)	Top-1 acc 49.902 (46.497)	Top-5 acc 74.609 (71.397)	lr 0.39983
Train [3][800/1251]	Time 0.539 (0.532)	Data 0.001 (0.001)	Loss 3.1207 (3.2070)	Top-1 acc 46.973 (46.699)	Top-5 acc 73.730 (71.553)	lr 0.39981
Train [3][900/1251]	Time 0.512 (0.533)	Data 0.001 (0.001)	Loss 2.9929 (3.1975)	Top-1 acc 49.707 (46.903)	Top-5 acc 75.488 (71.731)	lr 0.39979
Train [3][1000/1251]	Time 0.650 (0.533)	Data 0.001 (0.001)	Loss 3.0979 (3.1881)	Top-1 acc 47.852 (47.105)	Top-5 acc 71.582 (71.915)	lr 0.39977
Train [3][1100/1251]	Time 0.510 (0.533)	Data 0.001 (0.001)	Loss 3.0333 (3.1796)	Top-1 acc 50.195 (47.290)	Top-5 acc 75.586 (72.066)	lr 0.39975
Train [3][1200/1251]	Time 0.561 (0.532)	Data 0.001 (0.001)	Loss 3.1843 (3.1707)	Top-1 acc 46.973 (47.487)	Top-5 acc 73.828 (72.234)	lr 0.39973
Train [3][1251/1251]	Time 0.753 (0.532)	Data 0.001 (0.001)	Loss 3.1425 (3.1664)	Top-1 acc 46.171 (47.575)	Top-5 acc 69.266 (72.319)	lr 0.39972
==========Valid [3/120]	loss 2.629	top-1 acc 42.708 (42.708)	top-5 acc 69.712	Train top-1 47.575	top-5 72.319
Train [4][0/1251]	Time 0.657 (0.657)	Data 0.001 (0.001)	Loss 3.0887 (3.0887)	Top-1 acc 49.609 (49.609)	Top-5 acc 72.559 (72.559)	lr 0.39972
Train [4][100/1251]	Time 0.509 (0.533)	Data 0.001 (0.001)	Loss 2.9685 (3.0737)	Top-1 acc 51.270 (49.716)	Top-5 acc 76.562 (74.011)	lr 0.39970
Train [4][200/1251]	Time 0.516 (0.532)	Data 0.001 (0.001)	Loss 3.1086 (3.0589)	Top-1 acc 48.242 (49.985)	Top-5 acc 73.633 (74.338)	lr 0.39967
Train [4][300/1251]	Time 0.527 (0.531)	Data 0.001 (0.002)	Loss 2.9585 (3.0483)	Top-1 acc 49.219 (50.195)	Top-5 acc 77.539 (74.567)	lr 0.39965
Train [4][400/1251]	Time 0.511 (0.530)	Data 0.001 (0.002)	Loss 3.0312 (3.0424)	Top-1 acc 49.512 (50.346)	Top-5 acc 75.098 (74.668)	lr 0.39963
Train [4][500/1251]	Time 0.509 (0.530)	Data 0.002 (0.002)	Loss 2.9679 (3.0354)	Top-1 acc 52.246 (50.477)	Top-5 acc 76.660 (74.817)	lr 0.39960
Train [4][600/1251]	Time 0.515 (0.529)	Data 0.001 (0.001)	Loss 2.9973 (3.0303)	Top-1 acc 49.902 (50.583)	Top-5 acc 75.684 (74.929)	lr 0.39957
Train [4][700/1251]	Time 0.509 (0.530)	Data 0.001 (0.001)	Loss 2.9252 (3.0245)	Top-1 acc 52.930 (50.722)	Top-5 acc 77.148 (75.036)	lr 0.39954
Train [4][800/1251]	Time 0.526 (0.530)	Data 0.001 (0.001)	Loss 3.0140 (3.0194)	Top-1 acc 51.953 (50.839)	Top-5 acc 74.902 (75.111)	lr 0.39951
Train [4][900/1251]	Time 0.556 (0.529)	Data 0.001 (0.001)	Loss 2.9247 (3.0134)	Top-1 acc 54.004 (50.970)	Top-5 acc 77.148 (75.232)	lr 0.39949
Train [4][1000/1251]	Time 0.509 (0.529)	Data 0.001 (0.001)	Loss 3.0624 (3.0081)	Top-1 acc 50.488 (51.104)	Top-5 acc 73.145 (75.330)	lr 0.39945
Train [4][1100/1251]	Time 0.515 (0.529)	Data 0.001 (0.001)	Loss 2.9150 (3.0033)	Top-1 acc 52.441 (51.209)	Top-5 acc 78.418 (75.422)	lr 0.39942
Train [4][1200/1251]	Time 0.539 (0.529)	Data 0.001 (0.001)	Loss 2.8729 (2.9976)	Top-1 acc 54.590 (51.343)	Top-5 acc 78.516 (75.521)	lr 0.39939
