Train [2][500/2502]	Time 0.156 (0.153)	Data 0.001 (0.010)	Loss 4.7364 (4.9145)	Top-1 acc 17.578 (15.478)	Top-5 acc 40.039 (34.721)	lr 0.20000
Train [2][600/2502]	Time 0.139 (0.153)	Data 0.001 (0.009)	Loss 4.8035 (4.8920)	Top-1 acc 17.383 (15.879)	Top-5 acc 34.961 (35.262)	lr 0.20000
Train [2][700/2502]	Time 0.136 (0.153)	Data 0.001 (0.009)	Loss 4.6132 (4.8681)	Top-1 acc 21.094 (16.255)	Top-5 acc 41.211 (35.833)	lr 0.20000
Train [2][800/2502]	Time 0.151 (0.153)	Data 0.001 (0.009)	Loss 4.6765 (4.8465)	Top-1 acc 20.117 (16.599)	Top-5 acc 39.453 (36.330)	lr 0.20000
Train [2][900/2502]	Time 0.146 (0.153)	Data 0.001 (0.009)	Loss 4.4751 (4.8268)	Top-1 acc 20.703 (16.934)	Top-5 acc 44.922 (36.848)	lr 0.20000
Train [2][1000/2502]	Time 0.144 (0.153)	Data 0.001 (0.010)	Loss 4.4933 (4.8073)	Top-1 acc 20.312 (17.251)	Top-5 acc 42.578 (37.301)	lr 0.20000
Train [2][1100/2502]	Time 0.144 (0.153)	Data 0.001 (0.009)	Loss 4.6452 (4.7894)	Top-1 acc 20.312 (17.542)	Top-5 acc 40.430 (37.740)	lr 0.20000
Train [2][1200/2502]	Time 0.137 (0.152)	Data 0.001 (0.009)	Loss 4.5840 (4.7706)	Top-1 acc 19.922 (17.862)	Top-5 acc 45.117 (38.197)	lr 0.20000
Train [2][1300/2502]	Time 0.146 (0.152)	Data 0.007 (0.008)	Loss 4.5378 (4.7533)	Top-1 acc 20.312 (18.139)	Top-5 acc 44.531 (38.615)	lr 0.20000
Train [2][1400/2502]	Time 0.140 (0.152)	Data 0.001 (0.008)	Loss 4.5076 (4.7368)	Top-1 acc 24.805 (18.436)	Top-5 acc 47.852 (39.004)	lr 0.20000
Train [2][1500/2502]	Time 0.145 (0.152)	Data 0.001 (0.008)	Loss 4.4133 (4.7202)	Top-1 acc 22.461 (18.729)	Top-5 acc 47.461 (39.401)	lr 0.20000
Train [2][1600/2502]	Time 0.161 (0.152)	Data 0.001 (0.008)	Loss 4.4274 (4.7043)	Top-1 acc 23.242 (19.003)	Top-5 acc 44.727 (39.769)	lr 0.20000
Train [2][1700/2502]	Time 0.128 (0.152)	Data 0.001 (0.008)	Loss 4.5478 (4.6888)	Top-1 acc 23.047 (19.266)	Top-5 acc 42.773 (40.138)	lr 0.20000
Train [2][1800/2502]	Time 0.145 (0.152)	Data 0.001 (0.008)	Loss 4.4932 (4.6733)	Top-1 acc 21.289 (19.538)	Top-5 acc 48.438 (40.499)	lr 0.20000
Train [2][1900/2502]	Time 0.140 (0.152)	Data 0.001 (0.008)	Loss 4.4652 (4.6589)	Top-1 acc 23.438 (19.780)	Top-5 acc 44.727 (40.843)	lr 0.20000
Train [2][2000/2502]	Time 0.142 (0.152)	Data 0.001 (0.008)	Loss 4.3804 (4.6453)	Top-1 acc 22.461 (20.021)	Top-5 acc 45.312 (41.159)	lr 0.19999
Train [2][2100/2502]	Time 0.143 (0.152)	Data 0.001 (0.008)	Loss 4.3202 (4.6314)	Top-1 acc 28.320 (20.261)	Top-5 acc 50.586 (41.478)	lr 0.19999
Train [2][2200/2502]	Time 0.138 (0.151)	Data 0.001 (0.008)	Loss 4.4302 (4.6182)	Top-1 acc 25.977 (20.493)	Top-5 acc 46.484 (41.792)	lr 0.19999
Train [2][2300/2502]	Time 0.142 (0.151)	Data 0.001 (0.008)	Loss 4.3344 (4.6052)	Top-1 acc 27.148 (20.718)	Top-5 acc 49.805 (42.089)	lr 0.19999
Train [2][2400/2502]	Time 0.145 (0.151)	Data 0.001 (0.008)	Loss 4.3532 (4.5924)	Top-1 acc 25.195 (20.952)	Top-5 acc 49.023 (42.389)	lr 0.19999
Train [2][2500/2502]	Time 0.136 (0.151)	Data 0.001 (0.008)	Loss 4.3249 (4.5805)	Top-1 acc 26.953 (21.171)	Top-5 acc 48.242 (42.660)	lr 0.19999
Train [2][2502/2502]	Time 0.450 (0.152)	Data 0.001 (0.008)	Loss 4.2901 (4.5804)	Top-1 acc 27.259 (21.174)	Top-5 acc 51.702 (42.665)	lr 0.19999
==========Valid [2/250]	loss 4.141	top-1 acc 20.256 (20.256)	top-5 acc 41.718	Train top-1 21.174	top-5 42.665
Train [3][0/2502]	Time 0.306 (0.306)	Data 0.001 (0.001)	Loss 4.2643 (4.2643)	Top-1 acc 28.320 (28.320)	Top-5 acc 48.828 (48.828)	lr 0.19999
Train [3][100/2502]	Time 0.140 (0.158)	Data 0.001 (0.008)	Loss 4.2757 (4.2699)	Top-1 acc 25.586 (26.406)	Top-5 acc 47.266 (49.988)	lr 0.19999
Train [3][200/2502]	Time 0.144 (0.155)	Data 0.001 (0.008)	Loss 4.1955 (4.2618)	Top-1 acc 27.344 (26.828)	Top-5 acc 50.781 (50.008)	lr 0.19999
Train [3][300/2502]	Time 0.142 (0.154)	Data 0.001 (0.008)	Loss 4.2338 (4.2550)	Top-1 acc 28.711 (27.004)	Top-5 acc 51.367 (50.253)	lr 0.19999
Train [3][400/2502]	Time 0.134 (0.154)	Data 0.001 (0.008)	Loss 4.1847 (4.2472)	Top-1 acc 30.078 (27.199)	Top-5 acc 50.000 (50.433)	lr 0.19999
Train [3][500/2502]	Time 0.147 (0.153)	Data 0.001 (0.008)	Loss 4.2738 (4.2428)	Top-1 acc 27.930 (27.219)	Top-5 acc 49.023 (50.553)	lr 0.19999
Train [3][600/2502]	Time 0.146 (0.152)	Data 0.001 (0.007)	Loss 4.1993 (4.2374)	Top-1 acc 25.586 (27.341)	Top-5 acc 52.148 (50.689)	lr 0.19999
Train [3][700/2502]	Time 0.136 (0.152)	Data 0.001 (0.007)	Loss 4.0566 (4.2286)	Top-1 acc 32.617 (27.514)	Top-5 acc 55.859 (50.891)	lr 0.19999
Train [3][800/2502]	Time 0.201 (0.152)	Data 0.001 (0.007)	Loss 4.1585 (4.2211)	Top-1 acc 29.102 (27.652)	Top-5 acc 49.023 (51.083)	lr 0.19999
Train [3][900/2502]	Time 0.137 (0.152)	Data 0.001 (0.007)	Loss 4.0217 (4.2135)	Top-1 acc 32.617 (27.812)	Top-5 acc 54.297 (51.220)	lr 0.19999
Train [3][1000/2502]	Time 0.144 (0.152)	Data 0.001 (0.008)	Loss 4.2405 (4.2076)	Top-1 acc 25.000 (27.938)	Top-5 acc 50.977 (51.315)	lr 0.19998
Train [3][1100/2502]	Time 0.145 (0.152)	Data 0.001 (0.008)	Loss 4.1907 (4.2018)	Top-1 acc 27.930 (28.053)	Top-5 acc 52.148 (51.449)	lr 0.19998
Train [3][1200/2502]	Time 0.142 (0.153)	Data 0.001 (0.008)	Loss 4.1231 (4.1953)	Top-1 acc 28.320 (28.161)	Top-5 acc 54.297 (51.597)	lr 0.19998
Train [3][1300/2502]	Time 0.152 (0.153)	Data 0.001 (0.008)	Loss 4.1581 (4.1890)	Top-1 acc 26.172 (28.270)	Top-5 acc 49.609 (51.747)	lr 0.19998
Train [3][1400/2502]	Time 0.138 (0.152)	Data 0.001 (0.008)	Loss 4.0245 (4.1833)	Top-1 acc 32.617 (28.377)	Top-5 acc 54.102 (51.859)	lr 0.19998
Train [3][1500/2502]	Time 0.154 (0.153)	Data 0.001 (0.008)	Loss 4.1030 (4.1775)	Top-1 acc 27.539 (28.505)	Top-5 acc 51.953 (51.980)	lr 0.19998
Train [3][1600/2502]	Time 0.128 (0.153)	Data 0.001 (0.008)	Loss 4.1583 (4.1715)	Top-1 acc 29.688 (28.627)	Top-5 acc 53.125 (52.115)	lr 0.19998
Train [3][1700/2502]	Time 0.134 (0.153)	Data 0.001 (0.009)	Loss 4.1852 (4.1657)	Top-1 acc 28.906 (28.745)	Top-5 acc 51.758 (52.245)	lr 0.19998
Train [3][1800/2502]	Time 0.112 (0.153)	Data 0.001 (0.008)	Loss 3.9608 (4.1594)	Top-1 acc 29.492 (28.855)	Top-5 acc 54.883 (52.376)	lr 0.19998
Train [3][1900/2502]	Time 0.111 (0.153)	Data 0.001 (0.008)	Loss 4.1198 (4.1541)	Top-1 acc 31.055 (28.961)	Top-5 acc 54.492 (52.489)	lr 0.19998
Train [3][2000/2502]	Time 0.192 (0.153)	Data 0.012 (0.009)	Loss 3.9851 (4.1490)	Top-1 acc 31.836 (29.057)	Top-5 acc 58.594 (52.596)	lr 0.19997
Train [3][2100/2502]	Time 0.171 (0.153)	Data 0.026 (0.009)	Loss 3.9928 (4.1435)	Top-1 acc 31.445 (29.167)	Top-5 acc 56.250 (52.716)	lr 0.19997
Train [3][2200/2502]	Time 0.142 (0.152)	Data 0.001 (0.009)	Loss 4.0557 (4.1385)	Top-1 acc 28.711 (29.263)	Top-5 acc 54.102 (52.825)	lr 0.19997
Train [3][2300/2502]	Time 0.184 (0.153)	Data 0.001 (0.009)	Loss 3.9887 (4.1333)	Top-1 acc 31.836 (29.360)	Top-5 acc 54.688 (52.938)	lr 0.19997
Train [3][2400/2502]	Time 0.142 (0.153)	Data 0.001 (0.009)	Loss 3.8969 (4.1280)	Top-1 acc 32.227 (29.456)	Top-5 acc 57.812 (53.047)	lr 0.19997
Train [3][2500/2502]	Time 0.139 (0.153)	Data 0.001 (0.009)	Loss 3.9685 (4.1233)	Top-1 acc 33.398 (29.544)	Top-5 acc 57.422 (53.149)	lr 0.19997
Train [3][2502/2502]	Time 0.054 (0.153)	Data 0.001 (0.009)	Loss 4.1676 (4.1233)	Top-1 acc 30.722 (29.543)	Top-5 acc 53.071 (53.149)	lr 0.19997
==========Valid [3/250]	loss 3.501	top-1 acc 28.620 (28.620)	top-5 acc 53.258	Train top-1 29.543	top-5 53.149
Train [4][0/2502]	Time 0.259 (0.259)	Data 0.001 (0.001)	Loss 3.9429 (3.9429)	Top-1 acc 32.031 (32.031)	Top-5 acc 56.250 (56.250)	lr 0.19997
