Train [1][0/2502]	Time 6.398 (6.398)	Data 0.000 (0.000)	Loss 6.9270 (6.9270)	Top-1 acc 0.000 (0.000)	Top-5 acc 0.586 (0.586)	lr 0.00000
Train [1][100/2502]	Time 0.457 (0.530)	Data 0.001 (0.053)	Loss 6.9092 (6.9280)	Top-1 acc 0.000 (0.072)	Top-5 acc 0.195 (0.482)	lr 0.00799
Train [1][200/2502]	Time 0.416 (0.536)	Data 0.132 (0.163)	Loss 6.8091 (6.8944)	Top-1 acc 0.781 (0.182)	Top-5 acc 2.539 (0.811)	lr 0.01598
Train [1][300/2502]	Time 0.516 (0.577)	Data 0.266 (0.231)	Loss 6.6557 (6.8366)	Top-1 acc 0.586 (0.374)	Top-5 acc 3.320 (1.470)	lr 0.02397
Train [1][400/2502]	Time 0.541 (0.610)	Data 0.001 (0.188)	Loss 6.4554 (6.7539)	Top-1 acc 2.734 (0.680)	Top-5 acc 6.055 (2.455)	lr 0.03196
Train [1][500/2502]	Time 0.473 (0.640)	Data 0.174 (0.153)	Loss 5.9924 (6.6548)	Top-1 acc 2.930 (1.033)	Top-5 acc 11.328 (3.613)	lr 0.03995
Train [1][600/2502]	Time 0.716 (0.646)	Data 0.467 (0.163)	Loss 5.8165 (6.5403)	Top-1 acc 5.664 (1.487)	Top-5 acc 13.867 (4.971)	lr 0.04794
Train [1][700/2502]	Time 0.495 (0.657)	Data 0.246 (0.155)	Loss 5.6919 (6.4253)	Top-1 acc 5.859 (2.025)	Top-5 acc 17.773 (6.542)	lr 0.05593
Train [1][800/2502]	Time 0.809 (0.658)	Data 0.561 (0.152)	Loss 5.4923 (6.3167)	Top-1 acc 7.812 (2.664)	Top-5 acc 21.875 (8.137)	lr 0.06392
Train [1][900/2502]	Time 0.849 (0.655)	Data 0.001 (0.157)	Loss 5.2356 (6.2141)	Top-1 acc 7.812 (3.303)	Top-5 acc 27.539 (9.773)	lr 0.07191
Train [1][1000/2502]	Time 0.551 (0.657)	Data 0.001 (0.151)	Loss 5.1609 (6.1167)	Top-1 acc 10.156 (4.008)	Top-5 acc 29.102 (11.430)	lr 0.07990
