Train [3][300/1251]	Time 1.485 (0.436)	Data 0.002 (0.038)	Loss 3.5019 (3.4858)	Top-1 acc 37.793 (40.979)	Top-5 acc 67.285 (66.062)	lr 0.39998
Train [3][400/1251]	Time 0.323 (0.414)	Data 0.001 (0.029)	Loss 3.5162 (3.4747)	Top-1 acc 39.355 (41.219)	Top-5 acc 66.992 (66.314)	lr 0.39997
Train [3][500/1251]	Time 0.370 (0.402)	Data 0.001 (0.023)	Loss 3.4160 (3.4630)	Top-1 acc 42.480 (41.456)	Top-5 acc 67.578 (66.561)	lr 0.39997
Train [3][600/1251]	Time 0.335 (0.393)	Data 0.002 (0.020)	Loss 3.4441 (3.4536)	Top-1 acc 41.895 (41.678)	Top-5 acc 66.016 (66.767)	lr 0.39997
Train [3][700/1251]	Time 0.321 (0.386)	Data 0.001 (0.017)	Loss 3.3393 (3.4429)	Top-1 acc 42.676 (41.906)	Top-5 acc 68.750 (66.963)	lr 0.39996
Train [3][800/1251]	Time 0.324 (0.382)	Data 0.002 (0.015)	Loss 3.4040 (3.4353)	Top-1 acc 41.992 (42.074)	Top-5 acc 67.969 (67.112)	lr 0.39996
Train [3][900/1251]	Time 0.349 (0.378)	Data 0.002 (0.014)	Loss 3.2393 (3.4263)	Top-1 acc 45.312 (42.284)	Top-5 acc 70.898 (67.283)	lr 0.39995
Train [3][1000/1251]	Time 0.376 (0.375)	Data 0.001 (0.012)	Loss 3.3488 (3.4177)	Top-1 acc 42.969 (42.462)	Top-5 acc 67.578 (67.462)	lr 0.39995
Train [3][1100/1251]	Time 0.329 (0.373)	Data 0.001 (0.011)	Loss 3.2836 (3.4102)	Top-1 acc 46.289 (42.635)	Top-5 acc 71.973 (67.612)	lr 0.39994
Train [3][1200/1251]	Time 0.316 (0.371)	Data 0.001 (0.011)	Loss 3.3782 (3.4022)	Top-1 acc 43.945 (42.812)	Top-5 acc 67.578 (67.779)	lr 0.39994
Train [3][1251/1251]	Time 0.970 (0.371)	Data 0.001 (0.010)	Loss 3.5037 (3.3986)	Top-1 acc 40.595 (42.896)	Top-5 acc 63.710 (67.858)	lr 0.39994
==========Valid [3/250]	loss 2.710	top-1 acc 41.894 (41.894)	top-5 acc 68.104	Train top-1 42.896	top-5 67.858
Train [4][0/1251]	Time 0.552 (0.552)	Data 0.001 (0.001)	Loss 3.2694 (3.2694)	Top-1 acc 46.094 (46.094)	Top-5 acc 70.703 (70.703)	lr 0.39994
Train [4][100/1251]	Time 0.340 (0.400)	Data 0.001 (0.026)	Loss 3.1992 (3.3111)	Top-1 acc 45.801 (44.719)	Top-5 acc 70.410 (69.504)	lr 0.39993
Train [4][200/1251]	Time 0.342 (0.369)	Data 0.001 (0.014)	Loss 3.3311 (3.2962)	Top-1 acc 45.215 (45.028)	Top-5 acc 69.531 (69.907)	lr 0.39993
Train [4][300/1251]	Time 0.346 (0.365)	Data 0.001 (0.011)	Loss 3.1953 (3.2875)	Top-1 acc 45.508 (45.268)	Top-5 acc 71.484 (70.053)	lr 0.39992
Train [4][400/1251]	Time 0.327 (0.361)	Data 0.001 (0.009)	Loss 3.2683 (3.2809)	Top-1 acc 43.848 (45.396)	Top-5 acc 70.801 (70.193)	lr 0.39991
Train [4][500/1251]	Time 0.387 (0.357)	Data 0.002 (0.008)	Loss 3.1862 (3.2743)	Top-1 acc 46.484 (45.539)	Top-5 acc 71.582 (70.304)	lr 0.39991
Train [4][600/1251]	Time 0.382 (0.355)	Data 0.001 (0.007)	Loss 3.2713 (3.2696)	Top-1 acc 46.680 (45.652)	Top-5 acc 71.973 (70.402)	lr 0.39990
Train [4][700/1251]	Time 0.368 (0.354)	Data 0.002 (0.006)	Loss 3.1578 (3.2641)	Top-1 acc 47.363 (45.789)	Top-5 acc 72.656 (70.506)	lr 0.39990
Train [4][800/1251]	Time 0.381 (0.352)	Data 0.001 (0.006)	Loss 3.2573 (3.2594)	Top-1 acc 45.703 (45.896)	Top-5 acc 69.727 (70.599)	lr 0.39989
Train [4][900/1251]	Time 0.326 (0.353)	Data 0.001 (0.005)	Loss 3.1656 (3.2537)	Top-1 acc 49.023 (46.020)	Top-5 acc 72.949 (70.701)	lr 0.39988
Train [4][1000/1251]	Time 0.319 (0.352)	Data 0.001 (0.005)	Loss 3.2638 (3.2483)	Top-1 acc 46.973 (46.153)	Top-5 acc 69.238 (70.801)	lr 0.39988
Train [4][1100/1251]	Time 0.325 (0.352)	Data 0.001 (0.005)	Loss 3.1691 (3.2438)	Top-1 acc 46.973 (46.261)	Top-5 acc 72.070 (70.893)	lr 0.39987
Train [4][1200/1251]	Time 0.365 (0.351)	Data 0.001 (0.004)	Loss 3.0798 (3.2381)	Top-1 acc 50.488 (46.390)	Top-5 acc 75.098 (71.008)	lr 0.39986
Train [4][1251/1251]	Time 0.551 (0.351)	Data 0.001 (0.004)	Loss 3.1677 (3.2356)	Top-1 acc 46.845 (46.449)	Top-5 acc 75.496 (71.055)	lr 0.39986
==========Valid [4/250]	loss 2.820	top-1 acc 40.726 (41.894)	top-5 acc 66.408	Train top-1 46.449	top-5 71.055
Train [5][0/1251]	Time 0.375 (0.375)	Data 0.001 (0.001)	Loss 3.2571 (3.2571)	Top-1 acc 45.508 (45.508)	Top-5 acc 70.703 (70.703)	lr 0.39986
Train [5][100/1251]	Time 0.337 (0.347)	Data 0.001 (0.001)	Loss 3.2203 (3.1979)	Top-1 acc 45.996 (47.238)	Top-5 acc 71.484 (71.781)	lr 0.39985
Train [5][200/1251]	Time 0.338 (0.348)	Data 0.001 (0.001)	Loss 3.1543 (3.1809)	Top-1 acc 47.656 (47.656)	Top-5 acc 73.145 (72.106)	lr 0.39984
Train [5][300/1251]	Time 0.322 (0.348)	Data 0.002 (0.001)	Loss 3.1700 (3.1727)	Top-1 acc 47.070 (47.816)	Top-5 acc 72.754 (72.277)	lr 0.39983
Train [5][400/1251]	Time 0.343 (0.349)	Data 0.001 (0.001)	Loss 3.2044 (3.1680)	Top-1 acc 48.730 (47.928)	Top-5 acc 72.559 (72.376)	lr 0.39982
Train [5][500/1251]	Time 0.373 (0.350)	Data 0.001 (0.001)	Loss 3.1577 (3.1641)	Top-1 acc 47.852 (48.029)	Top-5 acc 72.559 (72.406)	lr 0.39982
Train [5][600/1251]	Time 0.347 (0.349)	Data 0.001 (0.001)	Loss 3.0785 (3.1606)	Top-1 acc 49.316 (48.085)	Top-5 acc 75.293 (72.460)	lr 0.39981
Train [5][700/1251]	Time 0.328 (0.348)	Data 0.001 (0.001)	Loss 3.0821 (3.1572)	Top-1 acc 50.098 (48.165)	Top-5 acc 74.414 (72.542)	lr 0.39980
Train [5][800/1251]	Time 0.317 (0.348)	Data 0.001 (0.001)	Loss 3.1446 (3.1543)	Top-1 acc 49.219 (48.243)	Top-5 acc 73.730 (72.596)	lr 0.39979
Train [5][900/1251]	Time 0.474 (0.348)	Data 0.001 (0.002)	Loss 3.0397 (3.1503)	Top-1 acc 50.977 (48.353)	Top-5 acc 74.512 (72.676)	lr 0.39978
Train [5][1000/1251]	Time 0.330 (0.348)	Data 0.001 (0.001)	Loss 3.1828 (3.1468)	Top-1 acc 47.168 (48.425)	Top-5 acc 72.461 (72.743)	lr 0.39977
Train [5][1100/1251]	Time 0.332 (0.348)	Data 0.001 (0.001)	Loss 3.0637 (3.1439)	Top-1 acc 50.879 (48.476)	Top-5 acc 75.391 (72.784)	lr 0.39976
